do_surprisal_total,pd_surprisal_total,do_surprisal_mean,pd_surprisal_mean,do_sent,pd_sent,log_odds_total,log_odds_mean,classification,BehavDOpreference,n_params,mpath,revision,seed_name,seed,step
122.0701675415039,137.5241241455078,15.258770942687988,15.280458450317383,Bob took the man wearing the hat the meal,Bob took the meal to the man wearing the hat,15.453956604003906,0.02168750762939453,alternating,8.25,70426624,EleutherAI/pythia-70m,step8,seed9,9,8
146.2573699951172,162.8857421875,16.250818252563477,16.28857421875,Michael took a woman who was from work the meal,Michael took the meal to a woman who was from work,16.628372192382812,0.03775596618652344,alternating,15.4,70426624,EleutherAI/pythia-70m,step8,seed9,9,8
80.56208801269531,94.50941467285156,16.112417221069336,15.751569747924805,Linda took him the meal,Linda took the meal to him,13.94732666015625,-0.36084747314453125,alternating,25.0,70426624,EleutherAI/pythia-70m,step8,seed9,9,8
95.97506713867188,109.88211059570312,15.995844841003418,15.697444915771484,Linda took the man the meal,Linda took the meal to the man,13.90704345703125,-0.2983999252319336,alternating,16.0,70426624,EleutherAI/pythia-70m,step8,seed9,9,8
75.86569213867188,92.90138244628906,15.173138618469238,15.483564376831055,Mary took a man the meal,Mary took the meal to a man,17.035690307617188,0.3104257583618164,alternating,10.846153846153848,70426624,EleutherAI/pythia-70m,step8,seed9,9,8
139.42816162109375,153.12130737304688,15.49201774597168,15.31213092803955,Juan took the woman wearing the hat the blanket,Juan took the blanket to the woman wearing the hat,13.693145751953125,-0.1798868179321289,alternating,5.285714285714286,70426624,EleutherAI/pythia-70m,step8,seed9,9,8
153.33621215820312,169.7259063720703,15.33362102508545,15.429628372192383,Mary took a man who was wearing a hat the blanket,Mary took the blanket to a man who was wearing a hat,16.389694213867188,0.0960073471069336,alternating,3.75,70426624,EleutherAI/pythia-70m,step8,seed9,9,8
79.80274963378906,94.57132720947266,15.960550308227539,15.76188850402832,Alice took him the blanket,Alice took the blanket to him,14.768577575683594,-0.19866180419921875,alternating,18.53846153846154,70426624,EleutherAI/pythia-70m,step8,seed9,9,8
78.20320129394531,93.62577819824219,15.640640258789062,15.604296684265137,Michael took the woman the blanket,Michael took the blanket to the woman,15.422576904296875,-0.03634357452392578,alternating,27.076923076923077,70426624,EleutherAI/pythia-70m,step8,seed9,9,8
95.30579376220703,109.82186126708984,15.884299278259277,15.688838005065918,Alice took a woman the blanket,Alice took the blanket to a woman,14.516067504882812,-0.19546127319335938,alternating,25.0,70426624,EleutherAI/pythia-70m,step8,seed9,9,8
156.7820587158203,171.12222290039062,15.678206443786621,15.55656623840332,Michael took the man who was wearing the hat a gift,Michael took a gift to the man who was wearing the hat,14.340164184570312,-0.12164020538330078,alternating,10.923076923076923,70426624,EleutherAI/pythia-70m,step8,seed9,9,8
119.65729522705078,135.17288208007812,14.957161903381348,15.019208908081055,Bob took a man wearing a hat a gift,Bob took a gift to a man wearing a hat,15.515586853027344,0.06204700469970703,alternating,9.0,70426624,EleutherAI/pythia-70m,step8,seed9,9,8
80.40365600585938,94.3585205078125,16.080732345581055,15.726420402526855,Linda took him a gift,Linda took a gift to him,13.954864501953125,-0.3543119430541992,alternating,43.1,70426624,EleutherAI/pythia-70m,step8,seed9,9,8
78.84815979003906,92.66410064697266,15.769632339477539,15.44401741027832,Bob took the woman a gift,Bob took a gift to the woman,13.815940856933594,-0.32561492919921875,alternating,41.09090909090909,70426624,EleutherAI/pythia-70m,step8,seed9,9,8
94.95185089111328,109.55741882324219,15.825308799743652,15.651060104370117,Juan took a woman a gift,Juan took a gift to a woman,14.605567932128906,-0.17424869537353516,alternating,20.8,70426624,EleutherAI/pythia-70m,step8,seed9,9,8
110.86152648925781,122.82855987548828,15.837361335754395,15.353569984436035,Bob took the woman from work a cake,Bob took a cake to the woman from work,11.967033386230469,-0.4837913513183594,alternating,15.636363636363637,70426624,EleutherAI/pythia-70m,step8,seed9,9,8
124.48907470703125,137.97418212890625,15.561134338378906,15.330464363098145,Michael took a woman wearing a hat a cake,Michael took a cake to a woman wearing a hat,13.485107421875,-0.23066997528076172,alternating,9.666666666666666,70426624,EleutherAI/pythia-70m,step8,seed9,9,8
60.6761474609375,73.33741760253906,15.169036865234375,14.66748332977295,John took her a cake,John took a cake to her,12.661270141601562,-0.5015535354614258,alternating,75.88888888888889,70426624,EleutherAI/pythia-70m,step8,seed9,9,8
96.71881103515625,108.8650131225586,16.119802474975586,15.552145004272461,Alice took the woman a cake,Alice took a cake to the woman,12.146202087402344,-0.567657470703125,alternating,27.6,70426624,EleutherAI/pythia-70m,step8,seed9,9,8
95.84648132324219,109.08494567871094,15.974413871765137,15.583564758300781,Alice took a woman a cake,Alice took a cake to a woman,13.23846435546875,-0.39084911346435547,alternating,38.857142857142854,70426624,EleutherAI/pythia-70m,step8,seed9,9,8
107.55158233642578,120.10218048095703,15.36451244354248,15.012772560119629,Bob took the man wearing the hat something,Bob took something to the man wearing the hat,12.55059814453125,-0.35173988342285156,alternating,8.777777777777779,70426624,EleutherAI/pythia-70m,step8,seed9,9,8
126.74118041992188,139.64263916015625,15.842647552490234,15.515849113464355,Juan took a woman wearing a hat something,Juan took something to a woman wearing a hat,12.901458740234375,-0.3267984390258789,alternating,6.333333333333333,70426624,EleutherAI/pythia-70m,step8,seed9,9,8
63.26167297363281,77.75303649902344,15.815418243408203,15.550607681274414,Linda took him something,Linda took something to him,14.491363525390625,-0.26481056213378906,alternating,25.7,70426624,EleutherAI/pythia-70m,step8,seed9,9,8
63.85035705566406,77.79853820800781,15.962589263916016,15.559707641601562,Michael took the woman something,Michael took something to the woman,13.94818115234375,-0.4028816223144531,alternating,15.7,70426624,EleutherAI/pythia-70m,step8,seed9,9,8
62.90345001220703,76.45681762695312,15.725862503051758,15.291363716125488,Mary took a woman something,Mary took something to a woman,13.553367614746094,-0.43449878692626953,alternating,26.181818181818183,70426624,EleutherAI/pythia-70m,step8,seed9,9,8
109.220703125,124.69905090332031,15.602958679199219,15.587381362915039,Mary told the man from work the news,Mary told the news to the man from work,15.478347778320312,-0.015577316284179688,alternating,65.875,70426624,EleutherAI/pythia-70m,step8,seed9,9,8
159.2259979248047,174.22360229492188,15.922599792480469,15.838509559631348,Linda told a woman who was from work the news,Linda told the news to a woman who was from work,14.997604370117188,-0.0840902328491211,alternating,28.545454545454547,70426624,EleutherAI/pythia-70m,step8,seed9,9,8
