do_surprisal_total,pd_surprisal_total,do_surprisal_mean,pd_surprisal_mean,do_sent,pd_sent,log_odds_total,log_odds_mean,classification,BehavDOpreference,n_params,mpath,revision,step
73.32437896728516,62.306907653808594,9.165547370910645,6.922989845275879,Bob took the man wearing the hat the meal,Bob took the meal to the man wearing the hat,-11.017471313476562,-2.2425575256347656,alternating,8.25,11846072320,EleutherAI/pythia-12b,step5000,5000
74.70761108398438,69.2459716796875,8.300846099853516,6.924597263336182,Michael took a woman who was from work the meal,Michael took the meal to a woman who was from work,-5.461639404296875,-1.376248836517334,alternating,15.4,11846072320,EleutherAI/pythia-12b,step5000,5000
55.400936126708984,53.486305236816406,11.080187797546387,8.914384841918945,Linda took him the meal,Linda took the meal to him,-1.9146308898925781,-2.1658029556274414,alternating,25.0,11846072320,EleutherAI/pythia-12b,step5000,5000
63.83929443359375,58.9542236328125,10.639883041381836,8.422032356262207,Linda took the man the meal,Linda took the meal to the man,-4.88507080078125,-2.217850685119629,alternating,16.0,11846072320,EleutherAI/pythia-12b,step5000,5000
50.44666290283203,45.49485778808594,10.089332580566406,7.582476615905762,Mary took a man the meal,Mary took the meal to a man,-4.951805114746094,-2.5068559646606445,alternating,10.846153846153848,11846072320,EleutherAI/pythia-12b,step5000,5000
87.37096405029297,76.44583129882812,9.707884788513184,7.644583225250244,Juan took the woman wearing the hat the blanket,Juan took the blanket to the woman wearing the hat,-10.925132751464844,-2.0633015632629395,alternating,5.285714285714286,11846072320,EleutherAI/pythia-12b,step5000,5000
76.4567642211914,66.93348693847656,7.645676612854004,6.08486270904541,Mary took a man who was wearing a hat the blanket,Mary took the blanket to a man who was wearing a hat,-9.523277282714844,-1.5608139038085938,alternating,3.75,11846072320,EleutherAI/pythia-12b,step5000,5000
51.43267822265625,47.14160919189453,10.28653621673584,7.856935024261475,Alice took him the blanket,Alice took the blanket to him,-4.291069030761719,-2.4296011924743652,alternating,18.53846153846154,11846072320,EleutherAI/pythia-12b,step5000,5000
47.36141586303711,42.7859992980957,9.472283363342285,7.13100004196167,Michael took the woman the blanket,Michael took the blanket to the woman,-4.575416564941406,-2.3412833213806152,alternating,27.07692307692308,11846072320,EleutherAI/pythia-12b,step5000,5000
65.5040054321289,56.758689880371094,10.91733455657959,8.10838508605957,Alice took a woman the blanket,Alice took the blanket to a woman,-8.745315551757812,-2.8089494705200195,alternating,25.0,11846072320,EleutherAI/pythia-12b,step5000,5000
71.57708740234375,66.19519805908203,7.157708644866943,6.017745494842529,Michael took the man who was wearing the hat a gift,Michael took a gift to the man who was wearing the hat,-5.381889343261719,-1.139963150024414,alternating,10.923076923076923,11846072320,EleutherAI/pythia-12b,step5000,5000
69.42903137207031,60.485538482666016,8.678628921508789,6.720615386962891,Bob took a man wearing a hat a gift,Bob took a gift to a man wearing a hat,-8.943492889404297,-1.9580135345458984,alternating,9.0,11846072320,EleutherAI/pythia-12b,step5000,5000
53.41762161254883,56.91309356689453,10.683524131774902,9.485515594482422,Linda took him a gift,Linda took a gift to him,3.495471954345703,-1.1980085372924805,alternating,43.1,11846072320,EleutherAI/pythia-12b,step5000,5000
44.321449279785156,44.21710205078125,8.864290237426758,7.3695173263549805,Bob took the woman a gift,Bob took a gift to the woman,-0.10434722900390625,-1.4947729110717773,alternating,41.09090909090909,11846072320,EleutherAI/pythia-12b,step5000,5000
60.6001091003418,58.7716064453125,10.100018501281738,8.395944595336914,Juan took a woman a gift,Juan took a gift to a woman,-1.8285026550292969,-1.7040739059448242,alternating,20.8,11846072320,EleutherAI/pythia-12b,step5000,5000
63.75261688232422,60.00442886352539,9.10751724243164,7.500553607940674,Bob took the woman from work a cake,Bob took a cake to the woman from work,-3.748188018798828,-1.6069636344909668,alternating,15.636363636363637,11846072320,EleutherAI/pythia-12b,step5000,5000
